year	percentGloves	weights
2008	0.1	10
2009	0.2	15
2010	0.133	15
2011	0	3
2012	0.438	16
2013	0.233	60
2014	0.2	15
2015	0.357	28
2016	0.474	78
2017	0.356	187
2018	0.32	25
2019	0.459	61
2020	0.49	341
2021	0.735	34
